Beds,Baths,SQFT,Price,Zip_Code,Address,Property_ID,Property_Type,URL,Price_Per_SQFT,Region
5.0,2.0,1920.0,449900.0,19038,"1780 S Limekiln Pike, Glenside, PA 19038",38902860,Unknown,https://www.redfin.com/PA/Glenside/1780-Limekiln-Pike-19038/home/38902860,234.32291666666666,Philadelphia / Southeast PA Area
3.0,3.0,1480.0,449900.0,19038,"613 Crescent Ave, Glenside, PA 19038",38205270,Unknown,https://www.redfin.com/PA/Glenside/613-Crescent-Ave-19038/home/38205270,303.9864864864865,Philadelphia / Southeast PA Area
4.0,2.5,3192.0,899000.0,19038,"611 Twickenham Rd, Glenside, PA 19038",38300682,Unknown,https://www.redfin.com/PA/Glenside/611-Twickenham-Rd-19038/home/38300682,281.64160401002505,Philadelphia / Southeast PA Area
5.0,1.0,4656.0,850000.0,19038,"8618 Caroline Dr, Glenside, PA 19038",38814459,Unknown,https://www.redfin.com/PA/Glenside/8618-Cheltenham-Ave-19038/home/38814459,182.56013745704468,Philadelphia / Southeast PA Area
4.0,1.0,3447.0,649999.0,19038,"500 W Waverly Rd, Glenside, PA 19038",38303560,Unknown,https://www.redfin.com/PA/Glenside/500-W-Waverly-Rd-19038/home/38303560,188.5694807078619,Philadelphia / Southeast PA Area
4.0,4.0,3537.0,1499000.0,19038,"8643 Montgomery, Glenside, PA 19038",38830721,Unknown,https://www.redfin.com/PA/Glenside/8643-Montgomery-Ave-19038/home/38830721,423.8054848741872,Philadelphia / Southeast PA Area
3.0,2.0,4034.0,650000.0,19038,"7702 Cheltenham Ave, Glenside, PA 19038",38814494,Unknown,https://www.redfin.com/PA/Glenside/7702-Cheltenham-Ave-19038/home/38814494,161.13039167079822,Philadelphia / Southeast PA Area
3.0,3.0,1530.0,685000.0,19038,"201 Glendalough Rd, Glenside, PA 19038",38822721,Unknown,https://www.redfin.com/PA/Glenside/201-Glendalough-Rd-19038/home/38822721,447.7124183006536,Philadelphia / Southeast PA Area
4.0,3.0,2861.0,499900.0,19038,"795 N Hills Ave, Glenside, PA 19038",38907924,Unknown,https://www.redfin.com/PA/Glenside/795-N-Hills-Ave-19038/home/38907924,174.72911569381336,Philadelphia / Southeast PA Area
3.0,4.0,1748.0,675000.0,19038,"700 Fraser Rd, Glenside, PA 19038",38820327,Unknown,https://www.redfin.com/PA/Glenside/700-Fraser-Rd-19038/home/38820327,386.15560640732264,Philadelphia / Southeast PA Area
4.0,4.0,2297.0,635000.0,19038,"1803 Harris Rd, Glenside, PA 19038",38281596,Unknown,https://www.redfin.com/PA/Glenside/1803-Harris-Rd-19038/home/38281596,276.4475402699173,Philadelphia / Southeast PA Area
4.0,4.0,2708.0,799900.0,19038,"7804 Louise Ln, Glenside, PA 19038",38827604,Unknown,https://www.redfin.com/PA/Glenside/7804-Louise-Ln-19038/home/38827604,295.384047267356,Philadelphia / Southeast PA Area
2.0,1.0,1120.0,280000.0,19038,"100 Logan Ave, Glenside, PA 19038",38905500,Unknown,https://www.redfin.com/PA/Glenside/100-Logan-Ave-19038/home/38905500,250.0,Philadelphia / Southeast PA Area
3.0,3.0,1205.0,282500.0,19038,"8200 Cheltenham Ave, Glenside, PA 19038",38814469,Unknown,https://www.redfin.com/PA/Glenside/8200-Cheltenham-Ave-19038/home/38814469,234.43983402489627,Philadelphia / Southeast PA Area
6.0,3.0,2140.0,525000.0,19038,"715 N Easton Rd, Glenside, PA 19038",38207543,Unknown,https://www.redfin.com/PA/Glenside/715-N-Easton-Rd-19038/home/38207543,245.3271028037383,Philadelphia / Southeast PA Area
3.0,1.0,1353.0,350000.0,19038,"121 Elm Ave, Glenside, PA 19038",38210798,Unknown,https://www.redfin.com/PA/Glenside/121-Elm-Ave-19038/home/38210798,258.68440502586844,Philadelphia / Southeast PA Area
5.0,2.0,1365.0,425000.0,19038,"436 Penn Ave, Glenside, PA 19038",38239038,Unknown,https://www.redfin.com/PA/Glenside/436-Penn-Ave-19038/home/38239038,311.35531135531136,Philadelphia / Southeast PA Area
3.0,2.0,1881.0,597500.0,19038,"8407 Hull Dr, Glenside, PA 19038",38825092,Unknown,https://www.redfin.com/PA/Glenside/8407-Hull-Dr-19038/home/38825092,317.6501860712387,Philadelphia / Southeast PA Area
3.0,3.0,1846.0,560000.0,19038,"113 Jackson Ave, Glenside, PA 19038",38900041,Unknown,https://www.redfin.com/PA/Glenside/113-Jackson-Ave-19038/home/38900041,303.35861321776815,Philadelphia / Southeast PA Area
4.0,4.0,2278.0,762500.0,19038,"914 Longfield Rd, Glenside, PA 19038",38827720,Unknown,https://www.redfin.com/PA/Glenside/914-Longfield-Rd-19038/home/38827720,334.72344161545215,Philadelphia / Southeast PA Area
3.0,3.0,1170.0,315000.0,19104,"406 N 42nd St, Philadelphia, PA 19104",38187031,Unknown,https://www.redfin.com/PA/Philadelphia/406-N-42nd-St-19104/home/38187031,269.2307692307692,Philadelphia / Southeast PA Area
4.0,3.0,1170.0,99900.0,19104,"3956 Melon St, Philadelphia, PA 19104",38669183,Unknown,https://www.redfin.com/PA/Philadelphia/3956-Melon-St-19104/home/38669183,85.38461538461539,Philadelphia / Southeast PA Area
